,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_impurity_decrease,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,0.0009408950805664063,5.6767979370812544e-05,0.00014472007751464844,2.5186753551949037e-06,entropy,0.004081632653061225,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.004081632653061225}",0.78125,0.8,0.78125,0.76875,0.76875,0.7799999999999999,0.011456439237389598,65,0.8421875,0.85625,0.8765625,0.8515625,0.8484375,0.8549999999999999,0.011709371246997015
21,0.0009195804595947266,6.547062741963546e-05,0.00014085769653320311,1.6057451477511155e-06,entropy,0.004285714285714286,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.004285714285714286}",0.775,0.79375,0.775,0.76875,0.76875,0.7762499999999999,0.009185586535436885,70,0.8359375,0.85,0.8734375,0.8484375,0.8484375,0.8512500000000001,0.012199513309964456
22,0.000885915756225586,7.69372580392517e-05,0.00013861656188964843,3.2079483397587128e-06,entropy,0.004489795918367347,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.004489795918367347}",0.76875,0.79375,0.78125,0.76875,0.78125,0.7787499999999999,0.009354143466934821,66,0.8328125,0.85,0.86875,0.846875,0.846875,0.8490624999999999,0.011507470399701247
23,0.0008800983428955078,6.56846603758514e-05,0.00014271736145019532,5.090334375412948e-06,entropy,0.004693877551020408,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.004693877551020408}",0.7875,0.79375,0.775,0.76875,0.78125,0.78125,0.008838834764831813,62,0.81875,0.85,0.86875,0.846875,0.846875,0.8462500000000001,0.01598338981568054
24,0.0008518218994140625,6.622912807284987e-05,0.00014171600341796874,4.036532866490995e-06,entropy,0.004897959183673469,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.004897959183673469}",0.79375,0.79375,0.7875,0.76875,0.78125,0.7849999999999999,0.009354143466934821,57,0.8171875,0.85,0.8671875,0.846875,0.8359375,0.8434375,0.016518219108003152
25,0.0008007526397705078,7.25108629843651e-05,0.00014066696166992188,2.062010603946653e-06,entropy,0.005102040816326531,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.005102040816326531}",0.79375,0.8,0.8,0.76875,0.78125,0.78875,0.01211919964354082,49,0.8171875,0.840625,0.8390625,0.846875,0.834375,0.835625,0.01004870949425848
26,0.0007719039916992187,5.296061829874727e-05,0.000140380859375,4.284641239974072e-06,entropy,0.005306122448979592,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.005306122448979592}",0.8,0.8,0.8,0.76875,0.78125,0.79,0.012869537676233755,41,0.8171875,0.828125,0.8375,0.8390625,0.8296875,0.8303125000000001,0.00781874750199803
27,0.0007550239562988282,5.6360941840021056e-05,0.00014138221740722656,2.6973983046972182e-06,entropy,0.005510204081632653,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.005510204081632653}",0.79375,0.8,0.8,0.76875,0.7875,0.7899999999999999,0.011592023119369627,42,0.8125,0.8265625,0.8265625,0.8390625,0.8265625,0.8262499999999999,0.008408515029421082
28,0.0007448673248291015,5.961330350925884e-05,0.00013952255249023439,4.337383762842875e-06,entropy,0.005714285714285714,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.005714285714285714}",0.79375,0.8,0.8,0.76875,0.7875,0.7899999999999999,0.011592023119369627,42,0.809375,0.825,0.8265625,0.8359375,0.8265625,0.8246874999999999,0.008580956386091252
29,0.000688934326171875,0.00010032937096632109,0.00014019012451171875,3.5555557026495454e-06,entropy,0.005918367346938775,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.005918367346938775}",0.79375,0.8125,0.8,0.775,0.7875,0.79375,0.012499999999999999,35,0.80625,0.815625,0.81875,0.81875,0.8265625,0.8171875,0.006555055301063428
30,0.000670766830444336,9.909802777562724e-05,0.0001396656036376953,4.163528433407415e-06,entropy,0.006122448979591837,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.006122448979591837}",0.79375,0.8125,0.8,0.79375,0.7875,0.7975000000000001,0.0084779124789066,5,0.80625,0.815625,0.815625,0.8046875,0.8265625,0.81375,0.00786854894500885
31,0.0006196498870849609,9.600651705874032e-05,0.00013942718505859374,2.9293484789672218e-06,entropy,0.006326530612244898,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.006326530612244898}",0.79375,0.8125,0.79375,0.79375,0.7875,0.7962499999999999,0.008477912478906597,15,0.803125,0.815625,0.8125,0.8046875,0.8265625,0.8125,0.008443285053816436
32,0.0006102085113525391,9.311344128311513e-05,0.00013756752014160156,3.2340669551493016e-06,entropy,0.006530612244897959,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.006530612244897959}",0.79375,0.8125,0.79375,0.79375,0.7875,0.7962499999999999,0.008477912478906597,15,0.803125,0.815625,0.8125,0.8046875,0.8265625,0.8125,0.008443285053816436
33,0.0005551815032958984,7.01985600676154e-05,0.00013556480407714844,1.831948538999419e-06,entropy,0.0067346938775510205,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0067346938775510205}",0.79375,0.81875,0.79375,0.79375,0.7875,0.7975000000000001,0.010897247358851688,5,0.803125,0.8078125,0.8125,0.8046875,0.8125,0.8081250000000001,0.0038780230143721475
34,0.0005434513092041016,6.996203794692507e-05,0.00013294219970703126,2.5837358825958376e-06,entropy,0.0069387755102040816,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0069387755102040816}",0.8,0.81875,0.79375,0.79375,0.7875,0.79875,0.01075290658380329,1,0.796875,0.8078125,0.8125,0.8046875,0.8125,0.806875,0.005812836011793212
35,0.000538778305053711,6.296623389578099e-05,0.00013709068298339844,2.271867608942336e-06,entropy,0.0071428571428571435,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0071428571428571435}",0.8,0.81875,0.79375,0.79375,0.7875,0.79875,0.01075290658380329,1,0.796875,0.8078125,0.8125,0.8046875,0.8125,0.806875,0.005812836011793212
36,0.0005414485931396484,6.125214123919375e-05,0.00013556480407714844,2.6100029341514603e-06,entropy,0.007346938775510205,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.007346938775510205}",0.8,0.81875,0.79375,0.79375,0.7875,0.79875,0.01075290658380329,1,0.796875,0.8078125,0.8125,0.8046875,0.8125,0.806875,0.005812836011793212
37,0.0005275726318359375,4.581395235439786e-05,0.00013537406921386718,2.4379392683342393e-06,entropy,0.007551020408163266,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.007551020408163266}",0.8,0.81875,0.79375,0.79375,0.7875,0.79875,0.01075290658380329,1,0.796875,0.8078125,0.8109375,0.8046875,0.8125,0.8065625000000001,0.005537514108334171
38,0.0005240917205810546,3.941756421597864e-05,0.0001342296600341797,2.7433681227955868e-06,entropy,0.007755102040816327,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.007755102040816327}",0.8,0.8,0.79375,0.79375,0.7875,0.795,0.0046770717334674574,19,0.796875,0.796875,0.8109375,0.8046875,0.8125,0.804375,0.006658523672707032
